0,0,534
0,1,33
0,2,49
0,3,50
0,4,27
0,5,35
0,6,13
0,7,59
0,8,1
0,9,46
0,10,61
0,11,33
0,12,35
0,13,29
0,14,28
0,15,30
0,16,3
0,17,31
0,18,42
0,19,19
0,21,40
0,22,20
0,28,2
0,29,2
0,30,2
0,31,38
0,32,3
0,33,2
0,36,2
0,37,2
0,40,2
0,43,2
0,44,1
0,46,2
1,0,33
1,1,496
1,4,27
1,6,1
1,8,13
1,10,39
1,12,10
1,13,8
1,18,5
1,31,1
2,0,49
2,2,310
2,6,3
2,9,5
2,11,10
2,12,13
2,13,11
2,14,10
2,15,2
2,17,48
2,18,92
2,19,9
2,20,1
2,21,19
2,22,17
2,31,59
3,0,50
3,3,2394
3,6,14
3,12,3
3,13,498
3,17,3
3,19,281
3,21,346
3,31,150
4,0,27
4,1,27
4,4,156
4,6,3
4,8,4
4,9,1
4,10,106
4,12,8
4,13,1
4,14,5
4,15,6
4,18,18
4,22,1
5,0,35
5,5,972
6,0,13
6,1,1
6,2,3
6,3,14
6,4,3
6,6,90
6,7,5
6,9,3
6,10,2
6,11,2
6,12,7
6,13,37
6,15,2
6,17,10
6,18,1
6,19,35
6,21,19
6,22,3
6,31,20
7,0,59
7,6,5
7,7,210
7,9,147
7,10,99
7,11,12
7,12,1
7,13,9
7,14,27
7,15,131
7,17,42
7,18,74
7,19,8
7,21,89
7,22,93
7,31,55
8,0,1
8,1,13
8,4,4
8,8,382
8,10,3
8,56,2
9,0,46
9,2,5
9,4,1
9,6,3
9,7,147
9,9,200
9,10,135
9,11,131
9,12,134
9,13,140
9,15,122
9,17,58
9,18,88
9,19,20
9,21,97
9,22,89
9,31,45
10,0,61
10,1,39
10,4,106
10,6,2
10,7,99
10,8,3
10,9,135
10,10,150
10,11,65
10,12,3
10,13,2
10,14,5
10,15,115
10,17,38
10,18,52
10,19,4
10,21,69
10,22,83
10,31,42
10,39,2
10,43,3
10,55,1
10,56,1
11,0,33
11,2,10
11,6,2
11,7,12
11,9,131
11,10,65
11,11,120
11,12,6
11,13,6
11,15,112
11,17,36
11,18,42
11,19,3
11,21,77
11,22,85
11,31,39
12,0,35
12,1,10
12,2,13
12,3,3
12,4,8
12,6,7
12,7,1
12,9,134
12,10,3
12,11,6
12,12,106
12,13,97
12,14,2
12,15,2
12,17,3
12,18,74
12,19,10
12,21,42
12,22,64
12,31,32
13,0,29
13,1,8
13,2,11
13,3,498
13,4,1
13,6,37
13,7,9
13,9,140
13,10,2
13,11,6
13,12,97
13,13,90
13,14,2
13,15,6
13,17,9
13,18,63
13,19,61
13,20,1
13,21,70
13,22,60
13,31,30
14,0,28
14,2,10
14,4,5
14,7,27
14,10,5
14,12,2
14,13,2
14,14,56
14,15,33
14,17,24
14,18,49
14,19,1
14,21,19
14,22,55
14,31,27
14,43,1
15,0,30
15,2,2
15,4,6
15,6,2
15,7,131
15,9,122
15,10,115
15,11,112
15,12,2
15,13,6
15,14,33
15,15,84
15,17,56
15,18,55
15,19,12
15,21,67
15,22,59
15,31,30
16,0,3
16,16,28
17,0,31
17,2,48
17,3,3
17,6,10
17,7,42
17,9,58
17,10,38
17,11,36
17,12,3
17,13,9
17,14,24
17,15,56
17,17,28
17,18,40
17,19,22
17,21,38
17,22,40
17,29,3
17,30,1
17,31,19
17,32,5
18,0,42
18,1,5
18,2,92
18,4,18
18,6,1
18,7,74
18,9,88
18,10,52
18,11,42
18,12,74
18,13,63
18,14,49
18,15,55
18,17,40
18,18,40
18,19,11
18,21,44
18,22,42
18,29,3
18,31,21
18,32,3
18,37,2
18,52,2
19,0,19
19,2,9
19,3,281
19,6,35
19,7,8
19,9,20
19,10,4
19,11,3
19,12,10
19,13,61
19,14,1
19,15,12
19,17,22
19,18,11
19,19,32
19,21,41
19,22,13
19,31,19
20,2,1
20,13,1
20,20,18
21,0,40
21,2,19
21,3,346
21,6,19
21,7,89
21,9,97
21,10,69
21,11,77
21,12,42
21,13,70
21,14,19
21,15,67
21,17,38
21,18,44
21,19,41
21,21,42
21,22,42
21,31,21
21,32,6
21,33,2
21,35,1
21,53,1
22,0,20
22,2,17
22,4,1
22,6,3
22,7,93
22,9,89
22,10,83
22,11,85
22,12,64
22,13,60
22,14,55
22,15,59
22,17,40
22,18,42
22,19,13
22,21,42
22,22,30
22,31,18
22,32,3
22,37,2
22,52,1
23,23,20
24,24,12
25,25,8
26,26,6
27,27,6
28,0,2
28,28,4
28,31,1
29,0,2
29,17,3
29,18,3
29,29,4
30,0,2
30,17,1
30,30,4
31,0,38
31,1,1
31,2,59
31,3,150
31,6,20
31,7,55
31,9,45
31,10,42
31,11,39
31,12,32
31,13,30
31,14,27
31,15,30
31,17,19
31,18,21
31,19,19
31,21,21
31,22,18
31,28,1
31,31,6
31,32,5
31,33,3
31,47,2
32,0,3
32,17,5
32,18,3
32,21,6
32,22,3
32,31,5
32,32,2
33,0,2
33,21,2
33,31,3
33,33,2
34,34,2
35,21,1
35,35,2
36,0,2
36,36,2
37,0,2
37,18,2
37,22,2
37,37,2
38,38,2
39,10,2
39,39,2
40,0,2
40,40,2
41,41,2
42,42,2
43,0,2
43,10,3
43,14,1
43,43,2
44,0,1
44,44,2
45,45,2
46,0,2
46,46,2
47,31,2
47,47,2
48,48,2
49,49,2
50,50,2
51,51,2
52,18,2
52,22,1
52,52,2
53,21,1
53,53,2
54,54,2
55,10,1
55,55,2
56,8,2
56,10,1
56,56,2
57,57,2
58,58,2
59,59,2
60,60,2
61,61,2
62,62,2
63,63,2
64,64,2
65,65,2
